folder name,file name,lifelines,messages,nesting_depth,cyclomatic_complexity,cohesion,coupling,completeness,clarity
US GPT4,009_Library_Management_System_229.txt,1,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,017_Library_Management_System_357.txt,3,5,0,8,High,High,Incomplete (missing responses),Medium/Low
US GPT4,004_Library_Management_System_119.txt,3,9,0,11,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,003_Library_Management_System_115.txt,1,13,0,15,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,099_unibath_26.txt,3,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,024_Restaurant_Management_System_199.txt,1,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,093_rdadmp_14.txt,3,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,052_cask_32.txt,0,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,076_mis_53.txt,0,8,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,043_alfred_39.txt,3,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,018_Library_Management_System_85.txt,3,10,0,12,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,085_openspending_46.txt,2,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,095_scrumalliance_47.txt,3,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,090_racdam_4.txt,2,4,0,6,High,High,Incomplete (missing responses),Medium/Low
US GPT4,100_zooniverse_27.txt,4,9,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,041_alfred_107.txt,3,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,023_Restaurant_Management_System_189.txt,0,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,048_badcamp_42.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,083_openspending_36.txt,0,1,0,3,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,096_scrumalliance_60.txt,0,7,0,9,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,001_Library_Management_System_106.txt,0,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,097_scrumalliance_87.txt,2,4,0,6,High,High,Incomplete (missing responses),Medium/Low
US GPT4,016_Library_Management_System_333.txt,0,11,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,051_cask_20.txt,3,16,0,18,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,032_Restaurant_Management_System_304.txt,1,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,028_Restaurant_Management_System_282.txt,0,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,050_badcamp_65.txt,2,3,0,5,High,High,Incomplete (missing responses),Medium/Low
US GPT4,007_Library_Management_System_181.txt,3,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,045_alfred_72.txt,3,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,013_Library_Management_System_308.txt,0,14,0,16,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,020_Restaurant_Management_System_136.txt,2,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,029_Restaurant_Management_System_287.txt,0,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,014_Library_Management_System_312.txt,0,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,015_Library_Management_System_318.txt,0,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,084_openspending_37.txt,0,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,035_Restaurant_Management_System_319.txt,3,4,0,6,High,High,Incomplete (missing responses),Medium/Low
US GPT4,021_Restaurant_Management_System_161.txt,3,11,0,13,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,088_planningpoker_2.txt,2,7,0,9,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,077_mis_65.txt,3,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,055_cask_9.txt,2,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,079_neurohub_20.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,073_mis_11.txt,0,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,092_racdam_71.txt,1,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,078_neurohub_101.txt,3,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,006_Library_Management_System_172.txt,2,9,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,062_datahub_57.txt,3,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,011_Library_Management_System_291.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,046_alfred_89.txt,2,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,063_duraspace_27.txt,0,14,0,16,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,037_Restaurant_Management_System_339.txt,1,11,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,010_Library_Management_System_289.txt,1,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,056_culrepo_19.txt,2,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,057_culrepo_22.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,025_Restaurant_Management_System_201.txt,2,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,087_planningpoker_18.txt,4,9,0,11,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,058_culrepo_3.txt,2,15,0,18,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,002_Library_Management_System_113.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,075_mis_30.txt,2,7,0,9,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4,094_rdadmp_43.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,033_Restaurant_Management_System_31.txt,3,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,074_mis_27.txt,1,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,038_Restaurant_Management_System_340.txt,3,4,0,6,High,High,Incomplete (missing responses),Medium/Low
US GPT4,040_alfred_106.txt,1,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,070_frictionless_18.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4,082_openspending_14.txt,1,13,0,15,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,091_racdam_7.txt,3,9,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,042_alfred_113.txt,5,25,0,27,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,061_datahub_53.txt,3,15,0,17,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,008_Library_Management_System_220.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,072_frictionless_32.txt,3,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,086_openspending_49.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,067_federalspending_15.txt,6,11,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,089_planningpoker_7.txt,3,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,053_cask_33.txt,6,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,039_Restaurant_Management_System_73.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,066_duraspace_72.txt,4,15,0,17,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,027_Restaurant_Management_System_227.txt,3,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,098_unibath_1.txt,5,25,0,27,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,022_Restaurant_Management_System_178.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,030_Restaurant_Management_System_290.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,081_openspending_12.txt,4,15,0,17,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,034_Restaurant_Management_System_317.txt,2,7,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,049_badcamp_6.txt,4,10,0,13,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,019_Library_Management_System_94.txt,3,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,059_culrepo_70.txt,4,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,031_Restaurant_Management_System_300.txt,3,9,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,012_Library_Management_System_298.txt,4,8,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,047_archivesspace_47.txt,3,23,0,25,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,060_culrepo_91.txt,4,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,071_frictionless_2.txt,4,18,0,21,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,044_alfred_58.txt,5,9,0,12,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,036_Restaurant_Management_System_323.txt,4,8,0,11,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,065_duraspace_68.txt,5,7,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,069_federalspending_74.txt,7,16,0,19,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,026_Restaurant_Management_System_222.txt,3,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,068_federalspending_68.txt,5,10,0,13,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,054_cask_42.txt,4,11,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,064_duraspace_64.txt,4,14,0,17,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,005_Library_Management_System_165.txt,5,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,080_neurohub_9.txt,5,16,0,18,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,009_Library_Management_System_229.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,017_Library_Management_System_357.txt,2,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,004_Library_Management_System_119.txt,3,17,0,19,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,003_Library_Management_System_115.txt,4,11,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,099_unibath_26.txt,5,10,0,12,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,024_Restaurant_Management_System_199.txt,3,5,0,7,High,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,093_rdadmp_14.txt,4,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,052_cask_32.txt,4,16,0,18,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,076_mis_53.txt,5,15,0,17,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,043_alfred_39.txt,4,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,018_Library_Management_System_85.txt,5,14,0,16,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,085_openspending_46.txt,4,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,095_scrumalliance_47.txt,3,18,0,20,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,090_racdam_4.txt,5,13,0,15,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,100_zooniverse_27.txt,4,14,0,17,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,041_alfred_107.txt,1,18,1,22,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,023_Restaurant_Management_System_189.txt,5,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,048_badcamp_42.txt,3,10,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,083_openspending_36.txt,6,10,0,12,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,096_scrumalliance_60.txt,4,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,001_Library_Management_System_106.txt,4,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,097_scrumalliance_87.txt,4,11,0,13,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,016_Library_Management_System_333.txt,4,16,0,18,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,051_cask_20.txt,1,9,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,032_Restaurant_Management_System_304.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,028_Restaurant_Management_System_282.txt,4,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,050_badcamp_65.txt,3,4,0,6,High,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,007_Library_Management_System_181.txt,2,7,0,9,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,045_alfred_72.txt,4,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,013_Library_Management_System_308.txt,4,9,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,020_Restaurant_Management_System_136.txt,2,11,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,029_Restaurant_Management_System_287.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,014_Library_Management_System_312.txt,6,15,0,18,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,015_Library_Management_System_318.txt,6,18,0,21,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,084_openspending_37.txt,4,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,035_Restaurant_Management_System_319.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,021_Restaurant_Management_System_161.txt,4,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,088_planningpoker_2.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,077_mis_65.txt,4,11,0,13,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,055_cask_9.txt,4,8,0,11,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,079_neurohub_20.txt,4,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,073_mis_11.txt,3,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,092_racdam_71.txt,5,14,0,16,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,078_neurohub_101.txt,5,25,0,27,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,006_Library_Management_System_172.txt,0,16,0,19,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,062_datahub_57.txt,3,9,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,011_Library_Management_System_291.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,046_alfred_89.txt,3,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,063_duraspace_27.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,037_Restaurant_Management_System_339.txt,2,11,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,010_Library_Management_System_289.txt,2,7,0,9,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,056_culrepo_19.txt,5,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,057_culrepo_22.txt,2,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,025_Restaurant_Management_System_201.txt,2,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,087_planningpoker_18.txt,6,17,0,19,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,058_culrepo_3.txt,4,23,0,26,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,002_Library_Management_System_113.txt,4,12,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,075_mis_30.txt,3,7,0,9,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,094_rdadmp_43.txt,3,14,0,16,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,033_Restaurant_Management_System_31.txt,0,0,0,2,High,High,High,Medium/Low
US GPT4 Turbo,074_mis_27.txt,3,24,0,26,Medium/Low,High,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,038_Restaurant_Management_System_340.txt,2,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,040_alfred_106.txt,1,6,1,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,070_frictionless_18.txt,2,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US GPT4 Turbo,082_openspending_14.txt,3,11,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
US Pegasus,091_racdam_7.txt,0,0,0,2,High,High,High,Medium/Low
US Pegasus,042_alfred_113.txt,3,6,0,9,Medium/Low,High,Incomplete (missing responses),Medium/Low
US Pegasus,061_datahub_53.txt,3,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,008_Library_Management_System_220.txt,3,5,0,7,High,High,Incomplete (missing responses),Medium/Low
US Pegasus,072_frictionless_32.txt,2,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,086_openspending_49.txt,2,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,067_federalspending_15.txt,3,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
US Pegasus,089_planningpoker_7.txt,0,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,053_cask_33.txt,0,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,039_Restaurant_Management_System_73.txt,2,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,066_duraspace_72.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,027_Restaurant_Management_System_227.txt,1,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,098_unibath_1.txt,1,14,0,16,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,022_Restaurant_Management_System_178.txt,3,4,0,6,High,High,Incomplete (missing responses),Medium/Low
US Pegasus,030_Restaurant_Management_System_290.txt,1,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,081_openspending_12.txt,2,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,034_Restaurant_Management_System_317.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,049_badcamp_6.txt,0,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,019_Library_Management_System_94.txt,1,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,059_culrepo_70.txt,2,5,0,7,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,031_Restaurant_Management_System_300.txt,1,3,0,5,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,012_Library_Management_System_298.txt,0,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,047_archivesspace_47.txt,2,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,060_culrepo_91.txt,4,8,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,071_frictionless_2.txt,0,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,044_alfred_58.txt,1,6,0,9,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,036_Restaurant_Management_System_323.txt,0,9,0,11,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,065_duraspace_68.txt,4,7,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,069_federalspending_74.txt,2,3,0,5,High,High,Incomplete (missing responses),Medium/Low
US Pegasus,026_Restaurant_Management_System_222.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,068_federalspending_68.txt,1,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,054_cask_42.txt,0,7,0,10,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,064_duraspace_64.txt,0,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,005_Library_Management_System_165.txt,2,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,080_neurohub_9.txt,0,14,0,16,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
US Pegasus,009_Library_Management_System_229.txt,0,4,0,6,High,Medium/Low,Incomplete (missing responses),Medium/Low
